2Theta,Intensity
5.0000,0.0000
5.0200,0.0000
5.0400,0.0000
5.0600,0.0000
5.0800,0.0000
5.1000,0.0000
5.1200,0.0000
5.1400,0.0000
5.1600,0.0000
5.1800,0.0000
5.2000,0.0000
5.2200,0.0000
5.2400,0.0000
5.2600,0.0000
5.2800,0.0000
5.3000,0.0000
5.3200,0.0000
5.3400,0.0000
5.3600,0.0000
5.3800,0.0000
5.4000,0.0000
5.4200,0.0000
5.4400,0.0000
5.4600,0.0000
5.4800,0.0000
5.5000,0.0000
5.5200,0.0000
5.5400,0.0000
5.5600,0.0000
5.5800,0.0000
5.6000,0.0000
5.6200,0.0000
5.6400,0.0000
5.6600,0.0000
5.6800,0.0000
5.7000,0.0000
5.7200,0.0000
5.7400,0.0000
5.7600,0.0000
5.7800,0.0000
5.8000,0.0000
5.8200,0.0000
5.8400,0.0000
5.8600,0.0000
5.8800,0.0000
5.9000,0.0000
5.9200,0.0000
5.9400,0.0000
5.9600,0.0000
5.9800,0.0000
6.0000,0.0000
6.0200,0.0000
6.0400,0.0000
6.0600,0.0000
6.0800,0.0000
6.1000,0.0000
6.1200,0.0000
6.1400,0.0000
6.1600,0.0000
6.1800,0.0000
6.2000,0.0000
6.2200,0.0000
6.2400,0.0000
6.2600,0.0000
6.2800,0.0000
6.3000,0.0000
6.3200,0.0000
6.3400,0.0000
6.3600,0.0000
6.3800,0.0000
6.4000,0.0000
6.4200,0.0000
6.4400,0.0000
6.4600,0.0000
6.4800,0.0000
6.5000,0.0000
6.5200,0.0000
6.5400,0.0000
6.5600,0.0000
6.5800,0.0000
6.6000,0.0000
6.6200,0.0000
6.6400,0.0000
6.6600,0.0000
6.6800,0.0000
6.7000,0.0000
6.7200,0.0000
6.7400,0.0000
6.7600,0.0000
6.7800,0.0000
6.8000,0.0000
6.8200,0.0000
6.8400,0.0000
6.8600,0.0000
6.8800,0.0000
6.9000,0.0000
6.9200,0.0000
6.9400,0.0000
6.9600,0.0000
6.9800,0.0000
7.0000,0.0000
7.0200,0.0000
7.0400,0.0000
7.0600,0.0000
7.0800,0.0000
7.1000,0.0000
7.1200,0.0000
7.1400,0.0000
7.1600,0.0000
7.1800,0.0000
7.2000,0.0000
7.2200,0.0000
7.2400,0.0000
7.2600,0.0000
7.2800,0.0000
7.3000,0.0000
7.3200,0.0000
7.3400,0.0000
7.3600,0.0000
7.3800,0.0000
7.4000,0.0000
7.4200,0.0000
7.4400,0.0000
7.4600,0.0000
7.4800,0.0000
7.5000,0.0000
7.5200,0.0000
7.5400,0.0000
7.5600,0.0000
7.5800,0.0000
7.6000,0.0000
7.6200,0.0000
7.6400,0.0000
7.6600,0.0000
7.6800,0.0000
7.7000,0.0000
7.7200,0.0000
7.7400,0.0000
7.7600,0.0000
7.7800,0.0000
7.8000,0.0000
7.8200,0.0000
7.8400,0.0000
7.8600,0.0000
7.8800,0.0000
7.9000,0.0000
7.9200,0.0000
7.9400,0.0000
7.9600,0.0000
7.9800,0.0000
8.0000,0.0000
8.0200,0.0000
8.0400,0.0000
8.0600,0.0000
8.0800,0.0000
8.1000,0.0000
8.1200,0.0000
8.1400,0.0000
8.1600,0.0000
8.1800,0.0000
8.2000,0.0000
8.2200,0.0000
8.2400,0.0000
8.2600,0.0000
8.2800,0.0000
8.3000,0.0000
8.3200,0.0000
8.3400,0.0000
8.3600,0.0000
8.3800,0.0000
8.4000,0.0000
8.4200,0.0000
8.4400,0.0000
8.4600,0.0000
8.4800,0.0000
8.5000,0.0000
8.5200,0.0000
8.5400,0.0000
8.5600,0.0000
8.5800,0.0000
8.6000,0.0000
8.6200,0.0000
8.6400,0.0000
8.6600,0.0000
8.6800,0.0000
8.7000,0.0000
8.7200,0.0000
8.7400,0.0000
8.7600,0.0000
8.7800,0.0000
8.8000,0.0000
8.8200,0.0000
8.8400,0.0000
8.8600,0.0000
8.8800,0.0000
8.9000,0.0000
8.9200,0.0000
8.9400,0.0000
8.9600,0.0000
8.9800,0.0000
9.0000,0.0000
9.0200,0.0000
9.0400,0.0000
9.0600,0.0000
9.0800,0.0000
9.1000,0.0000
9.1200,0.0000
9.1400,0.0000
9.1600,0.0000
9.1800,0.0000
9.2000,0.0000
9.2200,0.0000
9.2400,0.0000
9.2600,0.0000
9.2800,0.0000
9.3000,0.0000
9.3200,0.0000
9.3400,0.0000
9.3600,0.0000
9.3800,0.0000
9.4000,0.0000
9.4200,0.0000
9.4400,0.0000
9.4600,0.0000
9.4800,0.0000
9.5000,0.0000
9.5200,0.0000
9.5400,0.0000
9.5600,0.0000
9.5800,0.0000
9.6000,0.0000
9.6200,0.0000
9.6400,0.0000
9.6600,0.0000
9.6800,0.0000
9.7000,0.0000
9.7200,0.0000
9.7400,0.0000
9.7600,0.0000
9.7800,0.0004
9.8000,0.0092
9.8200,0.1346
9.8400,1.2488
9.8600,7.3665
9.8800,27.6332
9.9000,65.9191
9.9200,100.0000
9.9400,96.4712
9.9600,59.1840
9.9800,23.0898
10.0000,5.7286
10.0200,0.9038
10.0400,0.0907
10.0600,0.0058
10.0800,0.0002
10.1000,0.0000
10.1200,0.0000
10.1400,0.0000
10.1600,0.0000
10.1800,0.0000
10.2000,0.0000
10.2200,0.0000
10.2400,0.0000
10.2600,0.0000
10.2800,0.0000
10.3000,0.0000
10.3200,0.0000
10.3400,0.0000
10.3600,0.0000
10.3800,0.0000
10.4000,0.0000
10.4200,0.0000
10.4400,0.0000
10.4600,0.0000
10.4800,0.0000
10.5000,0.0000
10.5200,0.0000
10.5400,0.0000
10.5600,0.0000
10.5800,0.0000
10.6000,0.0000
10.6200,0.0000
10.6400,0.0000
10.6600,0.0000
10.6800,0.0000
10.7000,0.0000
10.7200,0.0000
10.7400,0.0000
10.7600,0.0000
10.7800,0.0000
10.8000,0.0000
10.8200,0.0000
10.8400,0.0000
10.8600,0.0000
10.8800,0.0000
10.9000,0.0000
10.9200,0.0000
10.9400,0.0000
10.9600,0.0000
10.9800,0.0000
11.0000,0.0000
11.0200,0.0000
11.0400,0.0000
11.0600,0.0000
11.0800,0.0000
11.1000,0.0000
11.1200,0.0000
11.1400,0.0000
11.1600,0.0000
11.1800,0.0000
11.2000,0.0000
11.2200,0.0000
11.2400,0.0000
11.2600,0.0000
11.2800,0.0000
11.3000,0.0000
11.3200,0.0000
11.3400,0.0000
11.3600,0.0000
11.3800,0.0000
11.4000,0.0000
11.4200,0.0000
11.4400,0.0000
11.4600,0.0000
11.4800,0.0000
11.5000,0.0000
11.5200,0.0000
11.5400,0.0000
11.5600,0.0000
11.5800,0.0000
11.6000,0.0000
11.6200,0.0000
11.6400,0.0000
11.6600,0.0000
11.6800,0.0000
11.7000,0.0000
11.7200,0.0000
11.7400,0.0000
11.7600,0.0000
11.7800,0.0000
11.8000,0.0000
11.8200,0.0000
11.8400,0.0000
11.8600,0.0000
11.8800,0.0000
11.9000,0.0000
11.9200,0.0000
11.9400,0.0000
11.9600,0.0000
11.9800,0.0000
12.0000,0.0000
12.0200,0.0000
12.0400,0.0000
12.0600,0.0000
12.0800,0.0000
12.1000,0.0000
12.1200,0.0000
12.1400,0.0000
12.1600,0.0000
12.1800,0.0000
12.2000,0.0000
12.2200,0.0000
12.2400,0.0000
12.2600,0.0000
12.2800,0.0000
12.3000,0.0000
12.3200,0.0000
12.3400,0.0000
12.3600,0.0000
12.3800,0.0000
12.4000,0.0000
12.4200,0.0000
12.4400,0.0000
12.4600,0.0000
12.4800,0.0000
12.5000,0.0000
12.5200,0.0000
12.5400,0.0000
12.5600,0.0000
12.5800,0.0000
12.6000,0.0000
12.6200,0.0000
12.6400,0.0000
12.6600,0.0000
12.6800,0.0000
12.7000,0.0000
12.7200,0.0000
12.7400,0.0004
12.7600,0.0084
12.7800,0.1144
12.8000,0.9916
12.8200,5.4630
12.8400,19.1407
12.8600,42.6471
12.8800,60.4270
12.9000,54.4480
12.9200,31.1990
12.9400,11.3687
12.9600,2.6344
12.9800,0.3882
13.0000,0.0364
13.0200,0.0022
13.0400,0.0001
13.0600,0.0000
13.0800,0.0000
13.1000,0.0000
13.1200,0.0000
13.1400,0.0000
13.1600,0.0000
13.1800,0.0000
13.2000,0.0000
13.2200,0.0000
13.2400,0.0000
13.2600,0.0000
13.2800,0.0000
13.3000,0.0000
13.3200,0.0000
13.3400,0.0000
13.3600,0.0000
13.3800,0.0000
13.4000,0.0000
13.4200,0.0000
13.4400,0.0000
13.4600,0.0000
13.4800,0.0000
13.5000,0.0000
13.5200,0.0000
13.5400,0.0000
13.5600,0.0000
13.5800,0.0000
13.6000,0.0000
13.6200,0.0000
13.6400,0.0000
13.6600,0.0001
13.6800,0.0017
13.7000,0.0291
13.7200,0.3148
13.7400,2.1671
13.7600,9.4870
13.7800,26.4115
13.8000,46.7594
13.8200,52.6445
13.8400,37.6918
13.8600,17.1613
13.8800,4.9689
13.9000,0.9149
13.9200,0.1071
13.9400,0.0080
13.9600,0.0015
13.9800,0.0206
14.0000,0.2346
14.0200,1.7021
14.0400,7.8528
14.0600,23.0394
14.0800,42.9859
14.1000,51.0022
14.1200,38.4823
14.1400,18.4647
14.1600,5.6342
14.1800,1.0933
14.2000,0.1349
14.2200,0.0106
14.2400,0.0005
14.2600,0.0000
14.2800,0.0000
14.3000,0.0000
14.3200,0.0000
14.3400,0.0000
14.3600,0.0000
14.3800,0.0000
14.4000,0.0000
14.4200,0.0000
14.4400,0.0000
14.4600,0.0000
14.4800,0.0000
14.5000,0.0000
14.5200,0.0000
14.5400,0.0000
14.5600,0.0000
14.5800,0.0000
14.6000,0.0000
14.6200,0.0000
14.6400,0.0000
14.6600,0.0000
14.6800,0.0000
14.7000,0.0000
14.7200,0.0000
14.7400,0.0000
14.7600,0.0000
14.7800,0.0000
14.8000,0.0000
14.8200,0.0000
14.8400,0.0000
14.8600,0.0000
14.8800,0.0000
14.9000,0.0000
14.9200,0.0000
14.9400,0.0000
14.9600,0.0000
14.9800,0.0000
15.0000,0.0000
15.0200,0.0003
15.0400,0.0057
15.0600,0.0781
15.0800,0.6829
15.1000,3.7989
15.1200,13.4400
15.1400,30.2372
15.1600,43.2609
15.1800,39.3602
15.2000,22.7735
15.2200,8.3793
15.2400,1.9606
15.2600,0.2917
15.2800,0.0276
15.3000,0.0017
15.3200,0.0001
15.3400,0.0000
15.3600,0.0000
15.3800,0.0000
15.4000,0.0000
15.4200,0.0000
15.4400,0.0000
15.4600,0.0000
15.4800,0.0000
15.5000,0.0000
15.5200,0.0000
15.5400,0.0000
15.5600,0.0000
15.5800,0.0000
15.6000,0.0000
15.6200,0.0000
15.6400,0.0000
15.6600,0.0000
15.6800,0.0000
15.7000,0.0000
15.7200,0.0000
15.7400,0.0000
15.7600,0.0000
15.7800,0.0000
15.8000,0.0000
15.8200,0.0000
15.8400,0.0000
15.8600,0.0000
15.8800,0.0000
15.9000,0.0000
15.9200,0.0000
15.9400,0.0000
15.9600,0.0000
15.9800,0.0000
16.0000,0.0000
16.0200,0.0000
16.0400,0.0000
16.0600,0.0000
16.0800,0.0000
16.1000,0.0000
16.1200,0.0000
16.1400,0.0000
16.1600,0.0000
16.1800,0.0000
16.2000,0.0000
16.2200,0.0000
16.2400,0.0000
16.2600,0.0000
16.2800,0.0000
16.3000,0.0000
16.3200,0.0000
16.3400,0.0000
16.3600,0.0000
16.3800,0.0000
16.4000,0.0000
16.4200,0.0000
16.4400,0.0000
16.4600,0.0000
16.4800,0.0000
16.5000,0.0000
16.5200,0.0000
16.5400,0.0000
16.5600,0.0000
16.5800,0.0000
16.6000,0.0000
16.6200,0.0000
16.6400,0.0000
16.6600,0.0000
16.6800,0.0000
16.7000,0.0000
16.7200,0.0000
16.7400,0.0000
16.7600,0.0000
16.7800,0.0000
